PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,11376,0,7770,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12266,IAH,US,United States,2013,3
0,597617,0,6365,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12478,JFK,US,United States,2013,3
0,177549,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,3
0,554609,0,7917,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14380,DMM,SA,Saudi Arabia,2013,5
0,174361,0,7770,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,12472,JED,SA,Saudi Arabia,2013,5
0,38843,0,7770,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12266,IAH,US,United States,2013,5
0,403537,0,6365,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12478,JFK,US,United States,2013,5
0,220983,0,7894,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14645,RUH,SA,Saudi Arabia,2013,6
0,20915,0,7770,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12266,IAH,US,United States,2013,6
0,77992,0,6365,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12478,JFK,US,United States,2013,6
0,31370,0,7680,L2,Lynden Air Cargo Airlines,11652,FCS,US,United States,14645,RUH,SA,Saudi Arabia,2013,1
0,0,0,7680,L2,Lynden Air Cargo Airlines,14645,RUH,SA,Saudi Arabia,11652,FCS,US,United States,2013,1
18,0,0,6548,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,10821,BWI,US,United States,2013,10
26,0,0,6524,0UQ,"Comlux Malta, Ltd.",14645,RUH,SA,Saudi Arabia,12478,JFK,US,United States,2013,5
28,9020,0,6338,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,10721,BOS,US,United States,2013,11
42,2640,0,6365,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,12472,JED,SA,Saudi Arabia,2013,7
273,0,0,6248,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,13240,MED,SA,Saudi Arabia,2013,10
435,0,0,6475,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,13240,MED,SA,Saudi Arabia,2013,10
925,4792,0,6524,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12478,JFK,US,United States,2013,2
1027,118001,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,2
1044,73218,0,6750,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,14645,RUH,SA,Saudi Arabia,2013,9
1126,108049,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,3
1310,11970,0,6524,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12478,JFK,US,United States,2013,3
1398,105015,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,1
1423,166476,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,4
1486,48226,0,6750,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12264,IAD,US,United States,2013,11
1489,13539,0,6750,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12264,IAD,US,United States,2013,9
1511,4620,0,6524,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12478,JFK,US,United States,2013,1
1635,164824,0,6750,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,14645,RUH,SA,Saudi Arabia,2013,4
1712,208375,0,6750,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,14645,RUH,SA,Saudi Arabia,2013,3
1712,228193,0,6593,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,12472,JED,SA,Saudi Arabia,2013,11
1754,175197,0,6750,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,14645,RUH,SA,Saudi Arabia,2013,11
1755,230974,0,6593,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,12472,JED,SA,Saudi Arabia,2013,4
1825,112176,0,6593,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12264,IAD,US,United States,2013,11
1880,1723,0,6593,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12264,IAD,US,United States,2013,2
1924,179718,0,6750,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,14645,RUH,SA,Saudi Arabia,2013,2
1951,66898,0,6593,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12264,IAD,US,United States,2013,7
1994,11807,0,6750,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12264,IAD,US,United States,2013,4
2013,194726,0,6365,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,12472,JED,SA,Saudi Arabia,2013,11
2036,140210,0,6593,SV,Saudi Arabian Airlines Corp,12264,IAD,US,United States,12472,JED,SA,Saudi Arabia,2013,2
2048,173736,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2013,10
2076,34355,0,6524,SV,Saudi Arabian Airlines Corp,14645,RUH,SA,Saudi Arabia,12478,JFK,US,United States,2013,4
