PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,285,0,9865,FX,Federal Express Corporation,10397,ATL,US,United States,14824,SIN,SG,Singapore,2003,12
0,37384,0,8444,FX,Federal Express Corporation,13796,OAK,US,United States,14824,SIN,SG,Singapore,2003,6
0,1861198,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,9
0,683283,0,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,3
0,2370350,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,5
0,1948184,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,12
0,5743,371,8068,FX,Federal Express Corporation,14747,SEA,US,United States,14824,SIN,SG,Singapore,2003,2
0,4102,0,8068,NW,Northwest Airlines Inc.,14747,SEA,US,United States,14824,SIN,SG,Singapore,2003,2
0,169679,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,1
0,193030,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2003,5
0,2236331,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,11
0,378506,0,9642,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,11298,DFW,US,United States,2003,3
0,10394,485,8068,FX,Federal Express Corporation,14747,SEA,US,United States,14824,SIN,SG,Singapore,2003,3
0,2132669,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,10
0,5099178,0,8758,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,9
0,0,1056,6665,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,11
0,94973,0,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,11
0,47260,0,9642,FX,Federal Express Corporation,11298,DFW,US,United States,14824,SIN,SG,Singapore,2003,12
0,641995,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,7
0,375881,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2003,12
0,1676400,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,6
0,722753,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,5
0,959651,0,9697,FX,Federal Express Corporation,14824,SIN,SG,Singapore,13244,MEM,US,United States,2003,6
0,8900,0,6711,GR,Gemini Air Cargo Airways,12173,HNL,US,United States,14824,SIN,SG,Singapore,2003,10
0,498318,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,12
0,14630,0,8444,FX,Federal Express Corporation,13796,OAK,US,United States,14824,SIN,SG,Singapore,2003,2
0,612427,3141,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,9
0,1671421,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,3
0,468537,2772,6665,FX,Federal Express Corporation,10299,ANC,US,United States,14824,SIN,SG,Singapore,2003,1
0,4670299,0,8758,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,11
0,1702983,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,11
0,872099,0,9697,FX,Federal Express Corporation,14824,SIN,SG,Singapore,13244,MEM,US,United States,2003,3
0,146110,0,9320,NW,Northwest Airlines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,3
0,363515,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,3
0,852960,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,9
0,53680,0,9320,NW,Northwest Airlines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,9
0,539471,0,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,1
0,1288371,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,1
0,1682074,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,6
0,10059,0,8444,FX,Federal Express Corporation,13796,OAK,US,United States,14824,SIN,SG,Singapore,2003,5
0,1015,0,8440,NW,Northwest Airlines Inc.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2003,6
0,71288,0,9320,NW,Northwest Airlines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,7
0,1015898,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,7
0,87458,6120,9484,FX,Federal Express Corporation,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,12
0,1813693,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,1
0,2637873,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,6
0,2175252,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,5
0,3248,0,8068,NW,Northwest Airlines Inc.,14747,SEA,US,United States,14824,SIN,SG,Singapore,2003,4
0,8712,11115,8068,FX,Federal Express Corporation,14747,SEA,US,United States,14824,SIN,SG,Singapore,2003,4
0,1917408,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,12
0,33672,0,6665,NW,Northwest Airlines Inc.,10299,ANC,US,United States,14824,SIN,SG,Singapore,2003,7
0,1112865,6199,6665,FX,Federal Express Corporation,10299,ANC,US,United States,14824,SIN,SG,Singapore,2003,7
0,4586659,0,8758,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,1
0,272020,0,2924,5Y,Atlas Air Inc.,15422,UAM,US,United States,14824,SIN,SG,Singapore,2003,1
0,3746,186,8440,FX,Federal Express Corporation,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,10
0,622667,436,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2003,7
0,83037,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2003,4
0,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,3
0,742775,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,3
0,567855,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,11
0,103140,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2003,8
1,0,0,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,3
1,0,0,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,4
1,0,0,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,6
4,0,0,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,5
4,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,5
4,0,0,9478,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12953,LGA,US,United States,2003,1
4,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,9
5,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,4
6,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,6
