PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,1578531,0,7393,CA,Air China,14309,PVG,CN,China,12478,JFK,US,United States,2003,4
0,1242782,0,7393,MU,China Eastern Airlines,14309,PVG,CN,China,12478,JFK,US,United States,2003,4
0,542546,0,6251,CA,Air China,14066,PEK,CN,China,12892,LAX,US,United States,2003,6
0,71856,0,5494,CA,Air China,14057,PDX,US,United States,14066,PEK,CN,China,2003,6
0,1543914,0,7773,CZ,China Southern Airlines,15113,SZX,CN,China,13930,ORD,US,United States,2003,5
0,688622,0,6580,MU,China Eastern Airlines,13930,ORD,US,United States,14066,PEK,CN,China,2003,9
0,1029939,0,6580,CA,Air China,13930,ORD,US,United States,14066,PEK,CN,China,2003,9
0,408791,0,6838,MU,China Eastern Airlines,12478,JFK,US,United States,14066,PEK,CN,China,2003,8
0,619232,0,6838,CA,Air China,12478,JFK,US,United States,14066,PEK,CN,China,2003,8
0,178765,0,6151,MU,China Eastern Airlines,14309,PVG,CN,China,14771,SFO,US,United States,2003,11
0,100553,0,6151,MU,China Eastern Airlines,14309,PVG,CN,China,14771,SFO,US,United States,2003,1
0,8805,0,6914,FX,Federal Express Corporation,15113,SZX,CN,China,14771,SFO,US,United States,2003,11
0,29964,0,7081,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,13692,NKG,CN,China,2003,7
0,650998,0,6580,CA,Air China,14066,PEK,CN,China,13930,ORD,US,United States,2003,1
0,3441856,0,4308,5X,United Parcel Service,14309,PVG,CN,China,10299,ANC,US,United States,2003,3
0,882244,0,7393,CA,Air China,12478,JFK,US,United States,14309,PVG,CN,China,2003,1
0,5160,0,6298,FX,Federal Express Corporation,13487,MSP,US,United States,14066,PEK,CN,China,2003,12
0,67756,0,7057,MU,China Eastern Airlines,13930,ORD,US,United States,14309,PVG,CN,China,2003,7
0,536961,0,7057,CA,Air China,13930,ORD,US,United States,14309,PVG,CN,China,2003,7
0,1327842,0,4308,5Y,Atlas Air Inc.,10299,ANC,US,United States,14309,PVG,CN,China,2003,5
0,1346363,0,4308,5X,United Parcel Service,10299,ANC,US,United States,14309,PVG,CN,China,2003,5
0,2761783,0,7248,CZ,China Southern Airlines,15113,SZX,CN,China,12892,LAX,US,United States,2003,3
0,1360115,0,7773,CZ,China Southern Airlines,13930,ORD,US,United States,15113,SZX,CN,China,2003,8
0,1041238,0,7393,CA,Air China,14309,PVG,CN,China,12478,JFK,US,United States,2003,5
0,1042188,0,7393,MU,China Eastern Airlines,14309,PVG,CN,China,12478,JFK,US,United States,2003,5
0,310973,0,6485,NW,Northwest Airlines Inc.,14309,PVG,CN,China,12892,LAX,US,United States,2003,1
0,592453,0,6838,CA,Air China,12478,JFK,US,United States,14066,PEK,CN,China,2003,5
0,521519,0,6838,MU,China Eastern Airlines,12478,JFK,US,United States,14066,PEK,CN,China,2003,5
0,169671,0,5408,MU,China Eastern Airlines,14747,SEA,US,United States,14066,PEK,CN,China,2003,10
0,9953,0,6298,FX,Federal Express Corporation,13487,MSP,US,United States,14066,PEK,CN,China,2003,5
0,102326,0,5722,MU,China Eastern Airlines,14309,PVG,CN,China,14747,SEA,US,United States,2003,5
0,246,7983,5913,FX,Federal Express Corporation,14771,SFO,US,United States,14066,PEK,CN,China,2003,2
0,134438,0,5913,MU,China Eastern Airlines,14771,SFO,US,United States,14066,PEK,CN,China,2003,2
0,751318,0,7773,CZ,China Southern Airlines,13930,ORD,US,United States,15113,SZX,CN,China,2003,6
0,3257802,0,4308,5X,United Parcel Service,14309,PVG,CN,China,10299,ANC,US,United States,2003,8
0,482632,0,6838,CA,Air China,14066,PEK,CN,China,12478,JFK,US,United States,2003,5
0,8389,0,6914,FX,Federal Express Corporation,15113,SZX,CN,China,14771,SFO,US,United States,2003,9
0,9990,0,5494,CA,Air China,14066,PEK,CN,China,14057,PDX,US,United States,2003,2
0,1460241,0,7393,MU,China Eastern Airlines,14309,PVG,CN,China,12478,JFK,US,United States,2003,7
0,12338,0,4308,NW,Northwest Airlines Inc.,10299,ANC,US,United States,14309,PVG,CN,China,2003,8
0,253454,0,4308,5Y,Atlas Air Inc.,10299,ANC,US,United States,14309,PVG,CN,China,2003,8
0,1485417,0,4308,5X,United Parcel Service,10299,ANC,US,United States,14309,PVG,CN,China,2003,8
0,3329,0,6832,FX,Federal Express Corporation,14066,PEK,CN,China,11618,EWR,US,United States,2003,5
0,26,0,5064,FX,Federal Express Corporation,10299,ANC,US,United States,15113,SZX,CN,China,2003,11
0,660871,0,6580,MU,China Eastern Airlines,13930,ORD,US,United States,14066,PEK,CN,China,2003,8
0,903170,0,6580,CA,Air China,13930,ORD,US,United States,14066,PEK,CN,China,2003,8
0,3850,0,5064,FX,Federal Express Corporation,10299,ANC,US,United States,15113,SZX,CN,China,2003,9
0,10390,0,6993,FX,Federal Express Corporation,14066,PEK,CN,China,13244,MEM,US,United States,2003,9
0,1262129,0,7081,SQ,Singapore Airlines Ltd.,13692,NKG,CN,China,13930,ORD,US,United States,2003,8
0,11622,12882,6832,FX,Federal Express Corporation,11618,EWR,US,United States,14066,PEK,CN,China,2003,7
0,14169,3252,6914,FX,Federal Express Corporation,14771,SFO,US,United States,15113,SZX,CN,China,2003,7
0,199856,23015,3961,FX,Federal Express Corporation,10299,ANC,US,United States,14066,PEK,CN,China,2003,12
0,39541,0,7312,NW,Northwest Airlines Inc.,11193,CVG,US,United States,14309,PVG,CN,China,2003,2
