Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2013,9,"683,465","108,209","791,674"
2013,10,"708,485","111,647","820,132"
2013,11,"655,857","107,734","763,591"
2013,12,"662,418","116,798","779,216"
2013,TOTAL,"8,323,938","1,391,252","9,715,190"
2014,1,"624,949","116,059","741,008"
2014,2,"577,281","103,775","681,056"
2014,3,"696,466","124,874","821,340"
2014,4,"676,427","119,965","796,392"
2014,5,"695,943","122,536","818,479"
2014,6,"702,089","126,394","828,483"
2014,7,"735,523","134,191","869,714"
2014,8,"724,088","130,577","854,665"
2014,9,"665,581","111,093","776,674"
2014,10,"694,036","112,478","806,514"
2014,11,"649,019","110,523","759,542"
2014,12,"666,401","121,656","788,057"
2014,TOTAL,"8,107,803","1,434,121","9,541,924"
2015,1,"634,868","120,629","755,497"
2015,2,"570,076","107,407","677,483"
2015,3,"684,009","124,658","808,667"
2015,4,"669,870","122,749","792,619"
2015,5,"690,230","125,341","815,571"
2015,6,"697,511","127,980","825,491"
2015,7,"732,894","137,374","870,268"
2015,8,"724,134","134,508","858,642"
2015,9,"658,506","115,656","774,162"
2015,10,"687,829","117,640","805,469"
2015,11,"651,293","112,641","763,934"
2015,12,"659,939","125,856","785,795"
2015,TOTAL,"8,061,159","1,472,439","9,533,598"
2016,1,"636,907","124,593","761,500"
2016,2,"612,287","115,907","728,194"
2016,3,"697,968","129,902","827,870"
2016,4,"675,765","125,577","801,342"
2016,5,"703,076","129,532","832,608"
2016,6,"713,782","134,111","847,893"
2016,7,"731,220","141,593","872,813"
2016,8,"732,136","138,002","870,138"
2016,9,"673,306","121,347","794,653"
2016,10,"688,482","122,035","810,517"
2016,11,"658,300","116,261","774,561"
2016,12,"662,304","132,016","794,320"
2016,TOTAL,"8,185,533","1,530,876","9,716,409"
2017,1,"645,310","130,527","775,837"
2017,2,"592,178","115,846","708,024"
2017,3,"697,139","133,578","830,717"
2017,4,"673,496","132,161","805,657"
2017,5,"706,879","133,635","840,514"
2017,6,"718,964","139,509","858,473"
2017,7,"739,698","148,978","888,676"
2017,8,"735,373","143,817","879,190"
2017,9,"652,125","120,216","772,341"
2017,10,"692,098","125,356","817,454"
2017,11,"657,045","119,492","776,537"
2017,12,"667,329","133,336","800,665"
2017,TOTAL,"8,177,634","1,576,451","9,754,085"
2018,1,"653,473","130,395","783,868"
2018,2,"600,589","117,355","717,944"
2018,3,"698,586","137,031","835,617"
2018,4,"695,423","133,966","829,389"
2018,5,"724,208","138,609","862,817"
2018,6,"732,441","144,232","876,673"
2018,7,"760,030","152,077","912,107"
2018,8,"756,497","147,408","903,905"
2018,9,"686,550","129,584","816,134"
2018,10,"722,759","131,596","854,355"
2018,11,"678,245","124,731","802,976"
2018,12,"691,174","138,437","829,611"
2018,TOTAL,"8,399,975","1,625,421","10,025,396"
2019,1,"667,605","135,773","803,378"
2019,2,"607,949","119,312","727,261"
2019,3,"729,197","140,494","869,691"
2019,4,"709,076","141,759","850,835"
2019,5,"739,346","139,508","878,854"
2019,6,"741,555","144,559","886,114"
2019,7,"768,769","150,476","919,245"
2019,8,"769,346","147,077","916,423"
2019,9,"703,929","123,258","827,187"
2019,10,"740,139","126,268","866,407"
2019,11,"694,283","119,996","814,279"
2019,12,"720,447","131,795","852,242"
2019,TOTAL,"8,591,641","1,620,275","10,211,916"
